Titulo,Empresa,Ubicacion,Salario,Experiencia minima,Tipo de contrato,Estudios minimos,Skills,Descripcion,Referencia,cat_original,cat_identificada
GDPR Specialist,PrivacyGuard Labs,"Bilbao, España",41.000€ - 62.000€ brutos anuales,3-5 años,"Indefinido, jornada completa",Máster en Protección de Datos o Seguridad de la Información,,"En PrivacyGuard Labs, buscamos un/a GDPR Specialist apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Bilbao, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 3-5 años de experiencia en el sector y conocimientos avanzados en tecnologías como Trabajo en equipo, ISO 27001, Sistemas de seguridad, Conocimiento de GDPR. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00254,Data Security & Privacy,
Privacy Compliance Manager,SecureFlow Corp,"Barcelona, España",58.000€ - 77.000€ brutos anuales,Sin experiencia,"Proyecto, freelance",Máster en Protección de Datos o Seguridad de la Información,,"En SecureFlow Corp, buscamos un/a Privacy Compliance Manager apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Barcelona, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Sin experiencia de experiencia en el sector y conocimientos avanzados en tecnologías como Auditoría de datos, Gestión de riesgos, Análisis crítico, Sistemas de seguridad. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00255,Data Security & Privacy,
Chief Information Security Officer,Shield Analytics,"Valencia, España",56.000€ - 97.000€ brutos anuales,1-2 años,"Temporal, media jornada",Máster en Protección de Datos o Seguridad de la Información,,"En Shield Analytics, buscamos un/a Chief Information Security Officer apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Valencia, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 1-2 años de experiencia en el sector y conocimientos avanzados en tecnologías como Auditoría de datos, Conocimiento de GDPR, Trabajo en equipo, Sistemas de seguridad. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00256,Data Security & Privacy,
Privacy Compliance Manager,Shield Analytics,"Bilbao, España",30.000€ - 88.000€ brutos anuales,Sin experiencia,"Indefinido, jornada completa",Máster en Protección de Datos o Seguridad de la Información,,"En Shield Analytics, buscamos un/a Privacy Compliance Manager apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Bilbao, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Sin experiencia de experiencia en el sector y conocimientos avanzados en tecnologías como Sistemas de seguridad, Auditoría de datos, Análisis crítico, Gestión de riesgos. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00257,Data Security & Privacy,
Cybersecurity & Compliance Analyst,DataDefense Inc,"Sevilla, España",45.000€ - 85.000€ brutos anuales,Sin experiencia,"Indefinido, jornada completa",Máster en Protección de Datos o Seguridad de la Información,,"En DataDefense Inc, buscamos un/a Cybersecurity & Compliance Analyst apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Sevilla, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Sin experiencia de experiencia en el sector y conocimientos avanzados en tecnologías como Auditoría de datos, Trabajo en equipo, Análisis crítico, Comunicación efectiva. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00258,Data Security & Privacy,
IT Security Analyst,Shield Analytics,"Sevilla, España",45.000€ - 84.000€ brutos anuales,Al menos 5 años,"Proyecto, freelance","Grado en Informática, Derecho, Ciberseguridad o similar",,"En Shield Analytics, buscamos un/a IT Security Analyst apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Sevilla, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Al menos 5 años de experiencia en el sector y conocimientos avanzados en tecnologías como Sistemas de seguridad, Conocimiento de GDPR, Comunicación efectiva, ISO 27001. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00259,Data Security & Privacy,
Privacy Compliance Manager,DataDefense Inc,"Sevilla, España",39.000€ - 62.000€ brutos anuales,3-5 años,"Proyecto, freelance",Máster en Protección de Datos o Seguridad de la Información,,"En DataDefense Inc, buscamos un/a Privacy Compliance Manager apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Sevilla, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 3-5 años de experiencia en el sector y conocimientos avanzados en tecnologías como Gestión de riesgos, Sistemas de seguridad, Trabajo en equipo, Conocimiento de GDPR. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00260,Data Security & Privacy,
Cybersecurity & Compliance Analyst,Shield Analytics,"Valencia, España",53.000€ - 69.000€ brutos anuales,1-2 años,"Proyecto, freelance","Grado en Informática, Derecho, Ciberseguridad o similar",,"En Shield Analytics, buscamos un/a Cybersecurity & Compliance Analyst apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Valencia, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 1-2 años de experiencia en el sector y conocimientos avanzados en tecnologías como Trabajo en equipo, Sistemas de seguridad, Comunicación efectiva, Gestión de riesgos. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00261,Data Security & Privacy,
Security Auditor,CyberSecure Tech,"Bilbao, España",45.000€ - 95.000€ brutos anuales,1-2 años,"Proyecto, freelance","Grado en Informática, Derecho, Ciberseguridad o similar",,"En CyberSecure Tech, buscamos un/a Security Auditor apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Bilbao, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 1-2 años de experiencia en el sector y conocimientos avanzados en tecnologías como Comunicación efectiva, Conocimiento de GDPR, Gestión de riesgos, Trabajo en equipo. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00262,Data Security & Privacy,
Information Security Consultant,CyberSecure Tech,"Barcelona, España",54.000€ - 100.000€ brutos anuales,Sin experiencia,"Proyecto, freelance",Máster en Protección de Datos o Seguridad de la Información,,"En CyberSecure Tech, buscamos un/a Information Security Consultant apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Barcelona, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Sin experiencia de experiencia en el sector y conocimientos avanzados en tecnologías como Auditoría de datos, Sistemas de seguridad, Trabajo en equipo, Conocimiento de GDPR. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00263,Data Security & Privacy,
Cybersecurity & Compliance Analyst,Shield Analytics,"Bilbao, España",36.000€ - 85.000€ brutos anuales,1-2 años,"Proyecto, freelance","Grado en Informática, Derecho, Ciberseguridad o similar",,"En Shield Analytics, buscamos un/a Cybersecurity & Compliance Analyst apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Bilbao, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 1-2 años de experiencia en el sector y conocimientos avanzados en tecnologías como Sistemas de seguridad, Trabajo en equipo, Análisis crítico, ISO 27001. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00264,Data Security & Privacy,
Information Security Consultant,Shield Analytics,"Sevilla, España",44.000€ - 88.000€ brutos anuales,Al menos 5 años,"Indefinido, jornada completa",Máster en Protección de Datos o Seguridad de la Información,,"En Shield Analytics, buscamos un/a Information Security Consultant apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Sevilla, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Al menos 5 años de experiencia en el sector y conocimientos avanzados en tecnologías como Sistemas de seguridad, Trabajo en equipo, Comunicación efectiva, Gestión de riesgos. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00265,Data Security & Privacy,
Data Privacy Specialist Junior,SecureFlow Corp,"Valencia, España",37.000€ - 82.000€ brutos anuales,3-5 años,"Temporal, media jornada",Máster en Protección de Datos o Seguridad de la Información,,"En SecureFlow Corp, buscamos un/a Data Privacy Specialist Junior apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Valencia, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 3-5 años de experiencia en el sector y conocimientos avanzados en tecnologías como Trabajo en equipo, Comunicación efectiva, Sistemas de seguridad, ISO 27001. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00266,Data Security & Privacy,
Data Privacy Specialist Junior,DataDefense Inc,"Valencia, España",55.000€ - 74.000€ brutos anuales,Sin experiencia,"Proyecto, freelance","Grado en Informática, Derecho, Ciberseguridad o similar",,"En DataDefense Inc, buscamos un/a Data Privacy Specialist Junior apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Valencia, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Sin experiencia de experiencia en el sector y conocimientos avanzados en tecnologías como Auditoría de datos, Sistemas de seguridad, Análisis crítico, ISO 27001. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00267,Data Security & Privacy,
Cybersecurity & Compliance Analyst,SecureFlow Corp,"Madrid, España",56.000€ - 88.000€ brutos anuales,Sin experiencia,"Proyecto, freelance","Grado en Informática, Derecho, Ciberseguridad o similar",,"En SecureFlow Corp, buscamos un/a Cybersecurity & Compliance Analyst apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Madrid, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Sin experiencia de experiencia en el sector y conocimientos avanzados en tecnologías como Auditoría de datos, Trabajo en equipo, ISO 27001, Comunicación efectiva. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00268,Data Security & Privacy,
Security Auditor,SecureFlow Corp,"Madrid, España",35.000€ - 90.000€ brutos anuales,Sin experiencia,"Temporal, media jornada",Máster en Protección de Datos o Seguridad de la Información,,"En SecureFlow Corp, buscamos un/a Security Auditor apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Madrid, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Sin experiencia de experiencia en el sector y conocimientos avanzados en tecnologías como Trabajo en equipo, ISO 27001, Análisis crítico, Conocimiento de GDPR. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00269,Data Security & Privacy,
Cybersecurity & Compliance Analyst,SecureFlow Corp,"Madrid, España",56.000€ - 66.000€ brutos anuales,3-5 años,"Indefinido, jornada completa",Máster en Protección de Datos o Seguridad de la Información,,"En SecureFlow Corp, buscamos un/a Cybersecurity & Compliance Analyst apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Madrid, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 3-5 años de experiencia en el sector y conocimientos avanzados en tecnologías como Sistemas de seguridad, Trabajo en equipo, Auditoría de datos, Conocimiento de GDPR. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00270,Data Security & Privacy,
Security Auditor,CyberSecure Tech,"Bilbao, España",48.000€ - 75.000€ brutos anuales,Sin experiencia,"Indefinido, jornada completa","Grado en Informática, Derecho, Ciberseguridad o similar",,"En CyberSecure Tech, buscamos un/a Security Auditor apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Bilbao, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Sin experiencia de experiencia en el sector y conocimientos avanzados en tecnologías como Trabajo en equipo, Auditoría de datos, Sistemas de seguridad, Comunicación efectiva. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00271,Data Security & Privacy,
Information Security Consultant,DataDefense Inc,"Barcelona, España",35.000€ - 69.000€ brutos anuales,Sin experiencia,"Indefinido, jornada completa","Grado en Informática, Derecho, Ciberseguridad o similar",,"En DataDefense Inc, buscamos un/a Information Security Consultant apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Barcelona, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Sin experiencia de experiencia en el sector y conocimientos avanzados en tecnologías como Trabajo en equipo, ISO 27001, Gestión de riesgos, Análisis crítico. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00272,Data Security & Privacy,
IT Security Analyst,Shield Analytics,"Bilbao, España",52.000€ - 88.000€ brutos anuales,3-5 años,"Temporal, media jornada",Máster en Protección de Datos o Seguridad de la Información,,"En Shield Analytics, buscamos un/a IT Security Analyst apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Bilbao, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 3-5 años de experiencia en el sector y conocimientos avanzados en tecnologías como Gestión de riesgos, Análisis crítico, ISO 27001, Trabajo en equipo. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00273,Data Security & Privacy,
Information Security Consultant,SecureFlow Corp,"Bilbao, España",36.000€ - 92.000€ brutos anuales,1-2 años,"Indefinido, jornada completa",Máster en Protección de Datos o Seguridad de la Información,,"En SecureFlow Corp, buscamos un/a Information Security Consultant apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Bilbao, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 1-2 años de experiencia en el sector y conocimientos avanzados en tecnologías como Trabajo en equipo, Sistemas de seguridad, Auditoría de datos, Comunicación efectiva. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00274,Data Security & Privacy,
Data Privacy Specialist Junior,DataDefense Inc,"Madrid, España",30.000€ - 83.000€ brutos anuales,3-5 años,"Temporal, media jornada","Grado en Informática, Derecho, Ciberseguridad o similar",,"En DataDefense Inc, buscamos un/a Data Privacy Specialist Junior apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Madrid, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 3-5 años de experiencia en el sector y conocimientos avanzados en tecnologías como Comunicación efectiva, ISO 27001, Sistemas de seguridad, Análisis crítico. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00275,Data Security & Privacy,
Information Security Consultant,DataDefense Inc,"Sevilla, España",58.000€ - 84.000€ brutos anuales,Sin experiencia,"Temporal, media jornada","Grado en Informática, Derecho, Ciberseguridad o similar",,"En DataDefense Inc, buscamos un/a Information Security Consultant apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Sevilla, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Sin experiencia de experiencia en el sector y conocimientos avanzados en tecnologías como Sistemas de seguridad, Trabajo en equipo, Gestión de riesgos, Conocimiento de GDPR. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00276,Data Security & Privacy,
Security Auditor,PrivacyGuard Labs,"Sevilla, España",41.000€ - 68.000€ brutos anuales,Al menos 5 años,"Indefinido, jornada completa","Grado en Informática, Derecho, Ciberseguridad o similar",,"En PrivacyGuard Labs, buscamos un/a Security Auditor apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Sevilla, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Al menos 5 años de experiencia en el sector y conocimientos avanzados en tecnologías como Trabajo en equipo, Sistemas de seguridad, Auditoría de datos, Análisis crítico. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00277,Data Security & Privacy,
IT Security Analyst,CyberSecure Tech,"Bilbao, España",54.000€ - 96.000€ brutos anuales,3-5 años,"Indefinido, jornada completa",Máster en Protección de Datos o Seguridad de la Información,,"En CyberSecure Tech, buscamos un/a IT Security Analyst apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Bilbao, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 3-5 años de experiencia en el sector y conocimientos avanzados en tecnologías como Gestión de riesgos, Sistemas de seguridad, Análisis crítico, ISO 27001. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00278,Data Security & Privacy,
Chief Information Security Officer,PrivacyGuard Labs,"Bilbao, España",56.000€ - 86.000€ brutos anuales,Al menos 5 años,"Temporal, media jornada",Máster en Protección de Datos o Seguridad de la Información,,"En PrivacyGuard Labs, buscamos un/a Chief Information Security Officer apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Bilbao, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Al menos 5 años de experiencia en el sector y conocimientos avanzados en tecnologías como ISO 27001, Conocimiento de GDPR, Comunicación efectiva, Gestión de riesgos. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00279,Data Security & Privacy,
IT Security Analyst,CyberSecure Tech,"Bilbao, España",35.000€ - 70.000€ brutos anuales,3-5 años,"Proyecto, freelance","Grado en Informática, Derecho, Ciberseguridad o similar",,"En CyberSecure Tech, buscamos un/a IT Security Analyst apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Bilbao, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 3-5 años de experiencia en el sector y conocimientos avanzados en tecnologías como ISO 27001, Auditoría de datos, Gestión de riesgos, Trabajo en equipo. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00280,Data Security & Privacy,
Security Auditor,PrivacyGuard Labs,"Bilbao, España",34.000€ - 68.000€ brutos anuales,Al menos 5 años,"Proyecto, freelance","Grado en Informática, Derecho, Ciberseguridad o similar",,"En PrivacyGuard Labs, buscamos un/a Security Auditor apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Bilbao, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Al menos 5 años de experiencia en el sector y conocimientos avanzados en tecnologías como Trabajo en equipo, Sistemas de seguridad, Comunicación efectiva, Auditoría de datos. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00281,Data Security & Privacy,
Privacy Compliance Manager,Shield Analytics,"Sevilla, España",34.000€ - 73.000€ brutos anuales,1-2 años,"Indefinido, jornada completa",Máster en Protección de Datos o Seguridad de la Información,,"En Shield Analytics, buscamos un/a Privacy Compliance Manager apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Sevilla, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 1-2 años de experiencia en el sector y conocimientos avanzados en tecnologías como Auditoría de datos, Conocimiento de GDPR, Sistemas de seguridad, Gestión de riesgos. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00282,Data Security & Privacy,
Chief Information Security Officer,Shield Analytics,"Madrid, España",53.000€ - 87.000€ brutos anuales,Al menos 5 años,"Temporal, media jornada","Grado en Informática, Derecho, Ciberseguridad o similar",,"En Shield Analytics, buscamos un/a Chief Information Security Officer apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Madrid, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Al menos 5 años de experiencia en el sector y conocimientos avanzados en tecnologías como Conocimiento de GDPR, Comunicación efectiva, ISO 27001, Sistemas de seguridad. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00283,Data Security & Privacy,
Chief Information Security Officer,SecureFlow Corp,"Bilbao, España",58.000€ - 99.000€ brutos anuales,Al menos 5 años,"Proyecto, freelance","Grado en Informática, Derecho, Ciberseguridad o similar",,"En SecureFlow Corp, buscamos un/a Chief Information Security Officer apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Bilbao, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Al menos 5 años de experiencia en el sector y conocimientos avanzados en tecnologías como ISO 27001, Análisis crítico, Conocimiento de GDPR, Trabajo en equipo. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00284,Data Security & Privacy,
Data Privacy Specialist Junior,PrivacyGuard Labs,"Bilbao, España",37.000€ - 94.000€ brutos anuales,Sin experiencia,"Temporal, media jornada","Grado en Informática, Derecho, Ciberseguridad o similar",,"En PrivacyGuard Labs, buscamos un/a Data Privacy Specialist Junior apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Bilbao, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Sin experiencia de experiencia en el sector y conocimientos avanzados en tecnologías como Conocimiento de GDPR, Sistemas de seguridad, Comunicación efectiva, Análisis crítico. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00285,Data Security & Privacy,
Data Protection Officer,PrivacyGuard Labs,"Valencia, España",33.000€ - 95.000€ brutos anuales,Sin experiencia,"Temporal, media jornada",Máster en Protección de Datos o Seguridad de la Información,,"En PrivacyGuard Labs, buscamos un/a Data Protection Officer apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Valencia, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Sin experiencia de experiencia en el sector y conocimientos avanzados en tecnologías como Análisis crítico, Comunicación efectiva, Conocimiento de GDPR, ISO 27001. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00286,Data Security & Privacy,
Privacy Compliance Manager,Shield Analytics,"Barcelona, España",49.000€ - 86.000€ brutos anuales,3-5 años,"Temporal, media jornada",Máster en Protección de Datos o Seguridad de la Información,,"En Shield Analytics, buscamos un/a Privacy Compliance Manager apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Barcelona, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 3-5 años de experiencia en el sector y conocimientos avanzados en tecnologías como Trabajo en equipo, ISO 27001, Sistemas de seguridad, Comunicación efectiva. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00287,Data Security & Privacy,
